Chapter,Disease,ID,,,,ICD9_CODE,TA,SHORT_TITLE,Count of HADM_ID,Adverse Effect,Disease,,
,,,,,,87330,800-999,Open wnd nose NOS-compl,2,-,Others,800-999Others,#N/A
,,,,,,87351,800-999,Open wound cheek-compl,2,-,Others,800-999Others,#N/A
,,,,,,87354,800-999,Open wound jaw-complicat,2,-,Others,800-999Others,#N/A
,,,,,,8742,800-999,Open wound thyroid gland,2,-,Others,800-999Others,#N/A
,,,,,,8745,800-999,Open wound pharynx-compl,2,-,Others,800-999Others,#N/A
,,,,,,8761,800-999,Open wound back-compl,2,-,Others,800-999Others,#N/A
,,,,,,88012,800-999,Open wound axilla-compl,2,-,Others,800-999Others,#N/A
,,,,,,88020,800-999,Opn wnd shouldr w tendon,2,-,Others,800-999Others,#N/A
,,,,,,88023,800-999,Open wnd up arm w tendon,2,-,Others,800-999Others,#N/A
,,,,,,8922,800-999,Open wound foot w tendon,2,-,Others,800-999Others,#N/A
,,,,,,8940,800-999,Open wound of leg NEC,2,-,Others,800-999Others,#N/A
,,,,,,8970,800-999,"Amput below knee, unilat",2,-,Others,800-999Others,#N/A
,,,,,,8972,800-999,"Amput above knee, unilat",2,-,Others,800-999Others,#N/A
,,,,,,90002,800-999,Inj external carotid art,2,-,Others,800-999Others,#N/A
,,,,,,90081,800-999,Inj extern jugular vein,2,-,Others,800-999Others,#N/A
,,,,,,9009,800-999,Inj head/neck vessel NOS,2,-,Others,800-999Others,#N/A
,,,,,,90141,800-999,Injury pulmonary artery,2,-,Others,800-999Others,#N/A
,,,,,,90181,800-999,Inj intercostal art/vein,2,-,Others,800-999Others,#N/A
,,,,,,9019,800-999,Inj thoracic vessel NOS,2,-,Others,800-999Others,#N/A
,,,,,,90220,800-999,Inj celiac/mesen art NOS,2,-,Others,800-999Others,#N/A
,,,,,,90225,800-999,Inj super mesenteric art,2,-,Others,800-999Others,#N/A
,,,,,,90226,800-999,Inj brnch sup mesent art,2,-,Others,800-999Others,#N/A
,,,,,,90233,800-999,Injury portal vein,2,-,Others,800-999Others,#N/A
,,,,,,90442,800-999,Injury popliteal vein,2,-,Others,800-999Others,#N/A
,,,,,,9052,800-999,Late effect arm fx,2,-,Others,800-999Others,#N/A
,,,,,,9055,800-999,Late effect fracture NEC,2,-,Others,800-999Others,#N/A
,,,,,,9067,800-999,Late eff burn extrem NEC,2,-,Others,800-999Others,#N/A
,,,,,,9074,800-999,Lt eff nerv inj shld/arm,2,-,Others,800-999Others,#N/A
,,,,,,9082,800-999,Late eff int injury NEC,2,-,Others,800-999Others,#N/A
,,,,,,9083,800-999,Late eff inj periph vess,2,-,Others,800-999Others,#N/A
,,,,,,9090,800-999,Late eff drug poisoning,2,-,Others,800-999Others,#N/A
,,,,,,9095,800-999,Lte efct advrs efct drug,2,-,Others,800-999Others,#N/A
,,,,,,9108,800-999,Superfic inj head NEC,2,-,Others,800-999Others,#N/A
,,,,,,9112,800-999,Blister trunk,2,-,Others,800-999Others,#N/A
,,,,,,9132,800-999,Blister forearm,2,-,Others,800-999Others,#N/A
,,,,,,9161,800-999,Abrasion hip/leg-infect,2,-,Others,800-999Others,#N/A
,,,,,,9165,800-999,Insect bite hip/leg-inf,2,-,Others,800-999Others,#N/A
,,,,,,9170,800-999,Abrasion foot & toe,2,-,Others,800-999Others,#N/A
,,,,,,9171,800-999,Abrasion foot/toe-infec,2,-,Others,800-999Others,#N/A
,,,,,,9198,800-999,Superficial injury NEC,2,-,Others,800-999Others,#N/A
,,,,,,9239,800-999,Contusion upper limb NOS,2,-,Others,800-999Others,#N/A
,,,,,,9243,800-999,Contusion of toe,2,-,Others,800-999Others,#N/A
,,,,,,9252,800-999,Crush inj neck,2,-,Others,800-999Others,#N/A
,,,,,,92800,800-999,Crushing injury thigh,2,-,Others,800-999Others,#N/A
,,,,,,92810,800-999,Crushing inj lower leg,2,-,Others,800-999Others,#N/A
,,,,,,94127,800-999,2nd deg burn face NEC,2,-,Others,800-999Others,#N/A
,,,,,,94224,800-999,2nd deg burn back,2,-,Others,800-999Others,#N/A
,,,,,,94423,800-999,2nd deg burn mult finger,2,-,Others,800-999Others,#N/A
,,,,,,94522,800-999,2nd deg burn foot,2,-,Others,800-999Others,#N/A
,,,,,,94532,800-999,3rd deg burn foot,2,-,Others,800-999Others,#N/A
,,,,,,94534,800-999,3rd deg burn low leg,2,-,Others,800-999Others,#N/A
,,,,,,94536,800-999,3rd deg burn thigh,2,-,Others,800-999Others,#N/A
,,,,,,9462,800-999,2nd deg burn mult site,2,-,Others,800-999Others,#N/A
,,,,,,9471,800-999,Burn larynx/trachea/lung,2,-,Others,800-999Others,#N/A
,,,,,,9472,800-999,Burn of esophagus,2,-,Others,800-999Others,#N/A
,,,,,,9515,800-999,Injury to acoustic nerve,2,-,Others,800-999Others,#N/A
,,,,,,95206,800-999,Complete les cord/c5-c7,2,-,Others,800-999Others,#N/A
,,,,,,9530,800-999,Cervical root injury,2,-,Others,800-999Others,#N/A
,,,,,,9531,800-999,Dorsal root injury,2,-,Others,800-999Others,#N/A
,,,,,,9540,800-999,Inj cerv sympath nerve,2,-,Others,800-999Others,#N/A
,,,,,,9559,800-999,Inj nerve shldr/arm NOS,2,-,Others,800-999Others,#N/A
,,,,,,9561,800-999,Injury femoral nerve,2,-,Others,800-999Others,#N/A
,,,,,,9562,800-999,Inj posterior tib nerve,2,-,Others,800-999Others,#N/A
,,,,,,9569,800-999,Inj nerve pelv/leg NOS,2,-,Others,800-999Others,#N/A
,,,,,,95911,800-999,Injury of chest wall NEC,2,-,Others,800-999Others,#N/A
,,,,,,9592,800-999,Shldr/upper arm inj NOS,2,-,Others,800-999Others,#N/A
,,,,,,9598,800-999,Injury mlt site/site NEC,2,-,Others,800-999Others,#N/A
,,,,,,9600,800-999,Poisoning-penicillins,2,-,Others,800-999Others,#N/A
,,,,,,9604,800-999,Poisoning-tetracycline,2,-,Others,800-999Others,#N/A
,,,,,,9605,800-999,Pois-cephalosporin group,2,-,Others,800-999Others,#N/A
,,,,,,9627,800-999,Poisoning-thyroid/deriv,2,-,Others,800-999Others,#N/A
,,,,,,9631,800-999,Pois-antineopl/immunosup,2,-,Others,800-999Others,#N/A
,,,,,,9664,800-999,Pois-anti-parkinson drug,2,-,Others,800-999Others,#N/A
,,,,,,9671,800-999,Poisoning-chloral hydrat,2,-,Others,800-999Others,#N/A
,,,,,,96903,800-999,Pois serotinin reuptake,2,-,Others,800-999Others,#N/A
,,,,,,96979,800-999,Poison by psychostim NEC,2,-,Others,800-999Others,#N/A
,,,,,,9722,800-999,Poisoning-antilipemics,2,-,Others,800-999Others,#N/A
,,,,,,9744,800-999,Poisoning-diuretics NEC,2,-,Others,800-999Others,#N/A
,,,,,,9755,800-999,Poisoning-expectorants,2,-,Others,800-999Others,#N/A
,,,,,,9766,800-999,Poison-ent preparation,2,-,Others,800-999Others,#N/A
,,,,,,9831,800-999,Toxic effect acids,2,-,Others,800-999Others,#N/A
,,,,,,9832,800-999,Toxic eff caustic alkali,2,-,Others,800-999Others,#N/A
,,,,,,986,800-999,Tox eff carbon monoxide,2,-,Others,800-999Others,#N/A
,,,,,,9879,800-999,Toxic eff gas/vapor NOS,2,-,Others,800-999Others,#N/A
,,,,,,9895,800-999,Toxic effect venom,2,-,Others,800-999Others,#N/A
,,,,,,9948,800-999,Effects electric current,2,-,Others,800-999Others,#N/A
,,,,,,99563,800-999,Anphylct react frts veg,2,-,Others,800-999Others,#N/A
,,,,,,99564,800-999,Anphyl react tr nts seed,2,-,Others,800-999Others,#N/A
,,,,,,99567,800-999,Anphylct react milk prod,2,-,Others,800-999Others,#N/A
,,,,,,9957,800-999,Adverse food react NEC,2,-,Others,800-999Others,#N/A
,,,,,,99580,800-999,Adult maltreatment NOS,2,-,Others,800-999Others,#N/A
,,,,,,99589,800-999,Adverse effect NEC,2,-,Others,800-999Others,#N/A
,,,,,,99640,800-999,Cmp int orth dev/gft NOS,2,-,Others,800-999Others,#N/A
,,,,,,99654,800-999,Breast prosth malfunc,2,-,Others,800-999Others,#N/A
,,,,,,99670,800-999,Comp-unsp device/graft,2,-,Others,800-999Others,#N/A
,,,,,,99687,800-999,Comp intestine transplnt,2,-,Others,800-999Others,#N/A
,,,,,,99772,800-999,Vasc comp renal artery,2,-,Others,800-999Others,#N/A
,,,,,,9989,800-999,Surgical complicat NOS,2,-,Others,800-999Others,#N/A
,,,,,,E0000,E_V,Civilian activity-income,2,-,E_V,E_VE_V,#N/A
,,,,,,E0026,E_V,Water ski/wake boarding,2,-,E_V,E_VE_V,#N/A
,,,,,,E0031,E_V,Ice hockey,2,-,E_V,E_VE_V,#N/A
,,,,,,E0039,E_V,Ice and snow,2,-,E_V,E_VE_V,#N/A
,,,,,,E0076,E_V,Basketball,2,-,E_V,E_VE_V,#N/A
,,,,,,E0089,E_V,"Sports,athletics NEC",2,-,E_V,E_VE_V,#N/A
,,,,,,E0190,E_V,Walking an animal,2,-,E_V,E_VE_V,#N/A
,,,,,,E030,E_V,Activity NOS,2,-,E_V,E_VE_V,#N/A
,,,,,,E8110,E_V,Reentrant mv coll-driver,2,-,E_V,E_VE_V,#N/A
,,,,,,E8133,E_V,Mv-oth veh coll-mcyc psg,2,-,E_V,E_VE_V,#N/A
,,,,,,E8170,E_V,Mv acc board/alight-driv,2,-,E_V,E_VE_V,#N/A
,,,,,,E8188,E_V,Mv traff acc-pers NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E8196,E_V,Traffic acc NOS-ped cycl,2,-,E_V,E_VE_V,#N/A
,,,,,,E8200,E_V,Snow veh acc-driver,2,-,E_V,E_VE_V,#N/A
,,,,,,E8240,E_V,N-traf board/alight-driv,2,-,E_V,E_VE_V,#N/A
,,,,,,E8260,E_V,Pedal cycle acc-pedest,2,-,E_V,E_VE_V,#N/A
,,,,,,E8311,E_V,Boat acc inj NEC-power,2,-,E_V,E_VE_V,#N/A
,,,,,,E8348,E_V,W/crft fall NEC-pers NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E8415,E_V,Oth powered aircraft acc,2,-,E_V,E_VE_V,#N/A
,,,,,,E848,E_V,Oth vehicle acc NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E8555,E_V,Acc poison-adrenergics,2,-,E_V,E_VE_V,#N/A
,,,,,,E8585,E_V,Acc poisn-metabol agnt,2,-,E_V,E_VE_V,#N/A
,,,,,,E8624,E_V,Acc poisn-solvents NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E8641,E_V,Acc poison-acids,2,-,E_V,E_VE_V,#N/A
,,,,,,E8654,E_V,Acc poison-plants NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E8703,E_V,Acc cut/hem in injection,2,-,E_V,E_VE_V,#N/A
,,,,,,E8714,E_V,Postendoscopy forgn body,2,-,E_V,E_VE_V,#N/A
,,,,,,E8717,E_V,FB post-catheter removal,2,-,E_V,E_VE_V,#N/A
,,,,,,E8748,E_V,Instrmnt fail-proced NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E8762,E_V,Failure in suture,2,-,E_V,E_VE_V,#N/A
,,,,,,E8764,E_V,Fail introd/remove tube,2,-,E_V,E_VE_V,#N/A
,,,,,,E8769,E_V,Medical misadventure NOS,2,-,E_V,E_VE_V,#N/A
,,,,,,E8793,E_V,Abn react-shock therapy,2,-,E_V,E_VE_V,#N/A
,,,,,,E8800,E_V,Fall on escalator,2,-,E_V,E_VE_V,#N/A
,,,,,,E8851,E_V,Fall from roller skates,2,-,E_V,E_VE_V,#N/A
,,,,,,E8902,E_V,Priv dwel fire-fumes NOS,2,-,E_V,E_VE_V,#N/A
,,,,,,E899,E_V,Fire accident NOS,2,-,E_V,E_VE_V,#N/A
,,,,,,E9000,E_V,Excessive heat: weather,2,-,E_V,E_VE_V,#N/A
,,,,,,E9138,E_V,Suffocation NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E9204,E_V,Accid-other hand tools,2,-,E_V,E_VE_V,#N/A
,,,,,,E9242,E_V,Acc-hot tap water,2,-,E_V,E_VE_V,#N/A
,,,,,,E9294,E_V,Late eff fire acc,2,-,E_V,E_VE_V,#N/A
,,,,,,E9314,E_V,Adv eff antimalarials,2,-,E_V,E_VE_V,#N/A
,,,,,,E9325,E_V,Adv eff post pituitary,2,-,E_V,E_VE_V,#N/A
,,,,,,E9334,E_V,Adv eff enzymes NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E9340,E_V,Adv eff iron & compounds,2,-,E_V,E_VE_V,#N/A
,,,,,,E9343,E_V,Adv eff vitamin k,2,-,E_V,E_VE_V,#N/A
,,,,,,E9360,E_V,Adv eff oxazolidin deriv,2,-,E_V,E_VE_V,#N/A
,,,,,,E9386,E_V,Adv eff nerve-block anes,2,-,E_V,E_VE_V,#N/A
,,,,,,E9433,E_V,Adv eff cathartics NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E9441,E_V,Adv eff purine diuretics,2,-,E_V,E_VE_V,#N/A
,,,,,,E9455,E_V,Adv eff expectorants,2,-,E_V,E_VE_V,#N/A
,,,,,,E9496,E_V,Adv eff viral vacc NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E9505,E_V,Poison-drug/medicin NOS,2,-,E_V,E_VE_V,#N/A
,,,,,,E954,E_V,Injury-submersion,2,-,E_V,E_VE_V,#N/A
,,,,,,E9673,E_V,Batter by spouse/partner,2,-,E_V,E_VE_V,#N/A
,,,,,,E9687,E_V,Human bite - assault,2,-,E_V,E_VE_V,#N/A
,,,,,,E9888,E_V,Undetermin circumst NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,E9889,E_V,Undetermin circumst NOS,2,-,E_V,E_VE_V,#N/A
,,,,,,V016,E_V,Venereal dis contact,2,-,E_V,E_VE_V,#N/A
,,,,,,V0489,E_V,Vaccn/inoc viral dis NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V078,E_V,Prophyl or tx meas NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V0950,E_V,Inf mcr rst qn flr nt ml,2,-,E_V,E_VE_V,#N/A
,,,,,,V1059,E_V,Hx-urinary malignan NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V1071,E_V,Hx-lymphosarcoma,2,-,E_V,E_VE_V,#N/A
,,,,,,V118,E_V,Hx-mental disorder NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V1364,E_V,"Hx-cong malform-eye,face",2,-,E_V,E_VE_V,#N/A
,,,,,,V143,E_V,Hx-anti-infect allergy,2,-,E_V,E_VE_V,#N/A
,,,,,,V1659,E_V,Fam hx-urinry malig NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V1851,E_V,Family hx colonic polyps,2,-,E_V,E_VE_V,#N/A
,,,,,,V192,E_V,Family hx-deafness,2,-,E_V,E_VE_V,#N/A
,,,,,,V2541,E_V,Contracept pill surveill,2,-,E_V,E_VE_V,#N/A
,,,,,,V271,E_V,Deliver-single stillborn,2,-,E_V,E_VE_V,#N/A
,,,,,,V4382,E_V,Breast replacement,2,-,E_V,E_VE_V,#N/A
,,,,,,V448,E_V,Artif open status NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V4961,E_V,Status amput thumb,2,-,E_V,E_VE_V,#N/A
,,,,,,V536,E_V,Fitting urinary devices,2,-,E_V,E_VE_V,#N/A
,,,,,,V5399,E_V,Fit/adjust device NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V558,E_V,Attn to artif open NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V561,E_V,Ft/adj xtrcorp dial cath,2,-,E_V,E_VE_V,#N/A
,,,,,,V568,E_V,"Dialysis encounter, NEC",2,-,E_V,E_VE_V,#N/A
,,,,,,V580,E_V,Radiotherapy encounter,2,-,E_V,E_VE_V,#N/A
,,,,,,V5843,E_V,Aftrcare inj/trauma surg,2,-,E_V,E_VE_V,#N/A
,,,,,,V5844,E_V,Aftercare organ transplt,2,-,E_V,E_VE_V,#N/A
,,,,,,V5873,E_V,Aft surg circ syst NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V6129,E_V,Oth parent-child problem,2,-,E_V,E_VE_V,#N/A
,,,,,,V6289,E_V,Psychological stress NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V6406,E_V,No vaccination-pt refuse,2,-,E_V,E_VE_V,#N/A
,,,,,,V708,E_V,General medical exam NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V8381,E_V,Cystic fibrosis gene car,2,-,E_V,E_VE_V,#N/A
,,,,,,V8389,E_V,Genetic carrier stat NEC,2,-,E_V,E_VE_V,#N/A
,,,,,,V8401,E_V,Genetc sus mal neo brest,2,-,E_V,E_VE_V,#N/A
,,,,,,V861,E_V,Estrogen recep neg stat,2,-,E_V,E_VE_V,#N/A
,,,,,,0071,001-139,Giardiasis,1,-,Others,001-139Others,#N/A
,,,,,,00804,001-139,Int inf e coli entrhmrg,1,-,Others,001-139Others,#N/A
,,,,,,00841,001-139,Staphylococc enteritis,1,-,Others,001-139Others,#N/A
,,,,,,00843,001-139,Int infec campylobacter,1,-,Others,001-139Others,#N/A
,,,,,,00847,001-139,Int inf oth grm neg bctr,1,-,Others,001-139Others,#N/A
,,,,,,00861,001-139,Intes infec rotavirus,1,-,Others,001-139Others,#N/A
,,,,,,0839,001-139,Rickettsiosis NOS,1,-,Others,001-139Others,#N/A
,,,,,,0846,001-139,Malaria NOS,1,-,Others,001-139Others,#N/A
,,,,,,0849,001-139,Malaria complicated NEC,1,-,Others,001-139Others,#N/A
,,,,,,0859,001-139,Leishmaniasis NOS,1,-,Others,001-139Others,#N/A
,,,,,,0880,001-139,Bartonellosis,1,-,Others,001-139Others,#N/A
,,,,,,0902,001-139,Early congen syph NOS,1,-,Others,001-139Others,#N/A
,,,,,,0912,001-139,Primary syphilis NEC,1,-,Others,001-139Others,#N/A
,,,,,,09152,001-139,Syphilitic iridocyclitis,1,-,Others,001-139Others,#N/A
,,,,,,09181,001-139,Acute syphil meningitis,1,-,Others,001-139Others,#N/A
,,,,,,0919,001-139,Secondary syphilis NOS,1,-,Others,001-139Others,#N/A
,,,,,,0970,001-139,Late syphilis NOS,1,-,Others,001-139Others,#N/A
,,,,,,1270,001-139,Ascariasis,1,-,Others,001-139Others,#N/A
,,,,,,1273,001-139,Trichuriasis,1,-,Others,001-139Others,#N/A
,,,,,,1308,001-139,Multisystem toxoplasmos,1,-,Others,001-139Others,#N/A
,,,,,,13101,001-139,Trichomonal vaginitis,1,-,Others,001-139Others,#N/A
,,,,,,13102,001-139,Trichomonal urethritis,1,-,Others,001-139Others,#N/A
,,,,,,13109,001-139,Urogenital trichomon NEC,1,-,Others,001-139Others,#N/A
,,,,,,1329,001-139,Pediculosis NOS,1,-,Others,001-139Others,#N/A
,,,,,,1348,001-139,Infestation NEC,1,-,Others,001-139Others,#N/A
,,,,,,1400,140-239,Mal neo upper vermilion,1,-,Others,140-239Others,#N/A
,,,,,,1401,140-239,Mal neo lower vermilion,1,-,Others,140-239Others,#N/A
,,,,,,1429,140-239,Mal neo salivary NOS,1,-,Others,140-239Others,#N/A
,,,,,,1430,140-239,Malig neo upper gum,1,-,Others,140-239Others,#N/A
,,,,,,1431,140-239,Malig neo lower gum,1,-,Others,140-239Others,#N/A
,,,,,,1439,140-239,Malig neo gum NOS,1,-,Others,140-239Others,#N/A
,,,,,,1455,140-239,Malignant neo palate NOS,1,-,Others,140-239Others,#N/A
,,,,,,1458,140-239,Malig neoplasm mouth NEC,1,-,Others,140-239Others,#N/A
,,,,,,1461,140-239,Mal neo tonsillar fossa,1,-,Others,140-239Others,#N/A
,,,,,,1463,140-239,Malign neopl vallecula,1,-,Others,140-239Others,#N/A
,,,,,,1464,140-239,Mal neo ant epiglottis,1,-,Others,140-239Others,#N/A
,,,,,,1467,140-239,Mal neo post oropharynx,1,-,Others,140-239Others,#N/A
,,,,,,1469,140-239,Malig neo oropharynx NOS,1,-,Others,140-239Others,#N/A
,,,,,,1489,140-239,Mal neo hypopharynx NOS,1,-,Others,140-239Others,#N/A
,,,,,,1498,140-239,Mal neo oral/pharynx NEC,1,-,Others,140-239Others,#N/A
,,,,,,1515,140-239,Mal neo stom lesser curv,1,-,Others,140-239Others,#N/A
,,,,,,1542,140-239,Malig neopl anal canal,1,-,Others,140-239Others,#N/A
,,,,,,1603,140-239,Mal neo ethmoidal sinus,1,-,Others,140-239Others,#N/A
,,,,,,1608,140-239,Mal neo access sinus NEC,1,-,Others,140-239Others,#N/A
,,,,,,1609,140-239,Mal neo access sinus NOS,1,-,Others,140-239Others,#N/A
,,,,,,1643,140-239,Mal neo post mediastinum,1,-,Others,140-239Others,#N/A
,,,,,,1702,140-239,Malig neo vertebrae,1,-,Others,140-239Others,#N/A
,,,,,,1703,140-239,Mal neo ribs/stern/clav,1,-,Others,140-239Others,#N/A
,,,,,,1717,140-239,Mal neopl trunk NOS,1,-,Others,140-239Others,#N/A
,,,,,,17322,140-239,Squam cell ca skin ear,1,-,Others,140-239Others,#N/A
,,,,,,17331,140-239,Bsl cel skn face NEC/NOS,1,-,Others,140-239Others,#N/A
,,,,,,17332,140-239,Sqm cel skn face NEC/NOS,1,-,Others,140-239Others,#N/A
,,,,,,17341,140-239,Bsl cell ca scalp/skn nk,1,-,Others,140-239Others,#N/A
,,,,,,17342,140-239,Sqam cell ca sclp/skn nk,1,-,Others,140-239Others,#N/A
,,,,,,17372,140-239,Sqam cell ca skn low lmb,1,-,Others,140-239Others,#N/A
,,,,,,1745,140-239,Mal neo breast low-outer,1,-,Others,140-239Others,#N/A
,,,,,,1765,140-239,Lym nds - kpsi's sarcoma,1,-,Others,140-239Others,#N/A
,,,,,,1832,140-239,Mal neo fallopian tube,1,-,Others,140-239Others,#N/A
,,,,,,1838,140-239,Mal neo adnexa NEC,1,-,Others,140-239Others,#N/A
,,,,,,1848,140-239,Mal neo female genit NEC,1,-,Others,140-239Others,#N/A
,,,,,,1898,140-239,Mal neo urinary NEC,1,-,Others,140-239Others,#N/A
,,,,,,1905,140-239,Malign neopl retina,1,-,Others,140-239Others,#N/A
,,,,,,1906,140-239,Malign neopl choroid,1,-,Others,140-239Others,#N/A
,,,,,,1920,140-239,Mal neo cranial nerves,1,-,Others,140-239Others,#N/A
,,,,,,1943,140-239,Malig neo pituitary,1,-,Others,140-239Others,#N/A
,,,,,,1945,140-239,Mal neo carotid body,1,-,Others,140-239Others,#N/A
,,,,,,1951,140-239,Malign neopl thorax,1,-,Others,140-239Others,#N/A
,,,,,,1952,140-239,Malig neo abdomen,1,-,Others,140-239Others,#N/A
,,,,,,20252,140-239,Letterer-siwe dis thorax,1,-,Others,140-239Others,#N/A
,,,,,,20382,140-239,Oth imnprlf neo-relapse,1,-,Others,140-239Others,#N/A
,,,,,,20903,140-239,Malig carcinoid ileum,1,-,Others,140-239Others,#N/A
,,,,,,20917,140-239,Malig carcinoid rectum,1,-,Others,140-239Others,#N/A
,,,,,,20925,140-239,Mal carcnoid foregut NOS,1,-,Others,140-239Others,#N/A
,,,,,,20930,140-239,Malig neuroendo ca NOS,1,-,Others,140-239Others,#N/A
,,,,,,20936,140-239,Merkel cell ca-oth sites,1,-,Others,140-239Others,#N/A
,,,,,,20951,140-239,Ben carcinoid appendix,1,-,Others,140-239Others,#N/A
,,,,,,20957,140-239,Benign carcinoid rectum,1,-,Others,140-239Others,#N/A
,,,,,,20963,140-239,Benign carcinoid stomach,1,-,Others,140-239Others,#N/A
,,,,,,20969,140-239,Bengn carcinoid oth site,1,-,Others,140-239Others,#N/A
,,,,,,20971,140-239,Sec neuroend tu dist lym,1,-,Others,140-239Others,#N/A
,,,,,,20974,140-239,Sec neuroendo tu-periton,1,-,Others,140-239Others,#N/A
,,,,,,2104,140-239,Benign neo mouth NEC/NOS,1,-,Others,140-239Others,#N/A
,,,,,,2110,140-239,Benign neo esophagus,1,-,Others,140-239Others,#N/A
,,,,,,2117,140-239,Ben neo islets langerhan,1,-,Others,140-239Others,#N/A
,,,,,,2120,140-239,Ben neo nasal cav/sinus,1,-,Others,140-239Others,#N/A
,,,,,,2122,140-239,Benign neo trachea,1,-,Others,140-239Others,#N/A
,,,,,,2132,140-239,Benign neo vertebrae,1,-,Others,140-239Others,#N/A
,,,,,,2140,140-239,Lipoma skin face,1,-,Others,140-239Others,#N/A
,,,,,,2149,140-239,Lipoma NOS,1,-,Others,140-239Others,#N/A
,,,,,,2150,140-239,Ben neo soft tissue head,1,-,Others,140-239Others,#N/A
,,,,,,2153,140-239,Ben neo soft tissue leg,1,-,Others,140-239Others,#N/A
,,,,,,2161,140-239,Benign neo skin eyelid,1,-,Others,140-239Others,#N/A
,,,,,,2164,140-239,Ben neo scalp/skin neck,1,-,Others,140-239Others,#N/A
,,,,,,2191,140-239,Benign neo corpus uteri,1,-,Others,140-239Others,#N/A
,,,,,,2210,140-239,Ben neo fallopian tube,1,-,Others,140-239Others,#N/A
,,,,,,2218,140-239,Ben neo fem genital NEC,1,-,Others,140-239Others,#N/A
,,,,,,2253,140-239,Benign neo spinal cord,1,-,Others,140-239Others,#N/A
,,,,,,22800,140-239,Hemangioma NOS,1,-,Others,140-239Others,#N/A
,,,,,,2302,140-239,Ca in situ stomach,1,-,Others,140-239Others,#N/A
,,,,,,2306,140-239,Ca in situ anus NOS,1,-,Others,140-239Others,#N/A
,,,,,,2312,140-239,Ca in situ bronchus/lung,1,-,Others,140-239Others,#N/A
,,,,,,2325,140-239,Ca in situ skin trunk,1,-,Others,140-239Others,#N/A
,,,,,,2326,140-239,Ca in situ skin arm,1,-,Others,140-239Others,#N/A
,,,,,,2329,140-239,Ca in situ skin NOS,1,-,Others,140-239Others,#N/A
,,,,,,23331,140-239,Carcinoma in situ vagina,1,-,Others,140-239Others,#N/A
,,,,,,2358,140-239,Unc behav neo pleura,1,-,Others,140-239Others,#N/A
,,,,,,2360,140-239,Uncert behav neo uterus,1,-,Others,140-239Others,#N/A
,,,,,,24221,240-279,Tox multnod goit w cris,1,-,Others,240-279Others,#N/A
,,,,,,24230,240-279,Tox nod goiter no crisis,1,-,Others,240-279Others,#N/A
,,,,,,24281,240-279,Thyrotox orig NEC w cris,1,-,Others,240-279Others,#N/A
,,,,,,2454,240-279,Iatrogenic thyroiditis,1,-,Others,240-279Others,#N/A
,,,,,,2458,240-279,Chr thyroiditis NEC/NOS,1,-,Others,240-279Others,#N/A
,,,,,,24950,240-279,Sec DM ophth nt st uncn,1,-,Others,240-279Others,#N/A
,,,,,,24991,240-279,Sec DM unsp uncontrold,1,-,Others,240-279Others,#N/A
,,,,,,2510,240-279,Hypoglycemic coma,1,-,Others,240-279Others,#N/A
,,,,,,2519,240-279,Pancreatic disorder NOS,1,-,Others,240-279Others,#N/A
,,,,,,2533,240-279,Pituitary dwarfism,1,-,Others,240-279Others,#N/A
,,,,,,2541,240-279,Abscess of thymus,1,-,Others,240-279Others,#N/A
,,,,,,25512,240-279,Conn's syndrome,1,-,Others,240-279Others,#N/A
,,,,,,2553,240-279,Corticoadren overact NEC,1,-,Others,240-279Others,#N/A
,,,,,,2571,240-279,Postablat testic hypofun,1,-,Others,240-279Others,#N/A
,,,,,,2588,240-279,Polyglandul dysfunc NEC,1,-,Others,240-279Others,#N/A
,,,,,,2692,240-279,Vitamin Deficiency NOS,1,-,Others,240-279Others,#N/A
,,,,,,2693,240-279,Mineral deficiency NEC,1,-,Others,240-279Others,#N/A
,,,,,,2702,240-279,Arom amin-acid metab NEC,1,-,Others,240-279Others,#N/A
,,,,,,2727,240-279,Lipidoses,1,-,Others,240-279Others,#N/A
,,,,,,27489,240-279,Gout w manifestation NEC,1,-,Others,240-279Others,#N/A
,,,,,,27509,240-279,Disord iron metablsm NEC,1,-,Others,240-279Others,#N/A
